"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Putnam Investments LLC", 9511283, 308926, "12/31/2016"
"Pioneer Investment Management Inc.", 9476885, 307809, "12/31/2016"
"Rhumbline Advisers", 9468911, 307550, "12/31/2016"
"US Bancorp DE", 8929360, 290026, "12/31/2016"
"DZ BANK AG Deutsche Zentral Genossenschafts Bank Frankfurt am Main", 8918379, 289666, "12/31/2016"
"State Board of Administration of Florida Retirement System", 8734329, 283691, "12/31/2016"
"BlackRock Japan Co. Ltd", 8667793, 281530, "12/31/2016"
"Hsbc Holdings PLC", , 279869, "12/31/2016"
"Levin Capital Strategies L.P.", 8312581, 269993, "12/31/2016"
"1832 Asset Management L.P.", 8145065, 269363, "12/31/2016"
"Standard Life Investments LTD", 8282274, 269133, "12/31/2016"
"Voya Investment Management LLC", 8252197, 268031, "12/31/2016"
"Credit Agricole S A", 8085021, 262602, "12/31/2016"
"Jennison Associates LLC", 7811609, 253721, "12/31/2016"
"OppenheimerFunds Inc.", 7793183, 253122, "12/31/2016"
"Adage Capital Partners GP L.L.C.", 7698578, 250050, "12/31/2016"
"NN Investment Partners Holdings N.V.", 7570776, 245899, "12/31/2016"
"Investec Asset Management LTD", 7535632, 244757, "12/31/2016"
"Raymond James & Associates", , 240194, "12/31/2016"
"Citigroup Inc.", , 240152, "12/31/2016"
"Great West Life Assurance Co. Can", 7361697, 239918, "12/31/2016"
"Canada Pension Plan Investment Board", 7136426, 231791, "12/31/2016"
"Gruss Capital Management LP", , 227847, "12/31/2016"
"Brandywine Global Investment Management LLC", 6730714, 218614, "12/31/2016"
"Barclays PLC", , 218235, "12/31/2016"
"United Services Automobile Association", 6697670, 217540, "12/31/2016"
"London Co. of Virginia", 6637209, 215576, "12/31/2016"
"D. E. Shaw & Co. Inc.", , 213277, "12/31/2016"
"Stifel Financial Corp", 6572468, 213248, "12/31/2016"
"Hexavest Inc.", 6535352, 212268, "12/31/2016"
"AXA", 6454630, 209646, "12/31/2016"
"Korea Investment CORP", 6296745, 204518, "12/31/2016"
"Waddell & Reed Financial Inc.", 6158845, 200039, "12/31/2016"
"Pictet Asset Management Ltd.", 6057729, 196755, "12/31/2016"
"Teacher Retirement System of Texas", 6048052, 196441, "12/31/2016"
"Thomaspartners Inc.", 5972613, 193990, "12/31/2016"
"Panagora Asset Management Inc.", 5789862, 188055, "12/31/2016"
"Aviva PLC", 5743714, 186670, "12/31/2016"
"State of Wisconsin Investment Board", 5743118, 186536, "12/31/2016"
"State of New Jersey Common Pension Fund D", 5474236, 177804, "12/31/2016"
"Grantham Mayo Van Otterloo & Co. LLC", 5451421, 177062, "12/31/2016"
"Chevy Chase Trust Holdings Inc.", 5382344, 174819, "12/31/2016"
"Brandes Investment Partners LP", 5271418, 171215, "12/31/2016"
"DekaBank Deutsche Girozentrale", 5240244, 169581, "12/31/2016"
"First Manhattan Co.", 5171073, 167956, "12/31/2016"
"Orbimed Advisors LLC", 5167900, 167853, "12/31/2016"
"PGGM Investments", 5070634, 164694, "12/31/2016"
"Thornburg Investment Management Inc.", 5069553, 164659, "12/31/2016"
"Pentwater Capital Management LP", , 164475, "12/31/2016"
"Sound Shore Management Inc. CT", 5022125, 163119, "12/31/2016"
"KBC Group NV", 4960034, 161102, "12/31/2016"
"Sarasin & Partners LLP", 4940079, 160454, "12/31/2016"
"Aberdeen Asset Management PLC UK", 4932278, 160200, "12/31/2016"
"Bessemer Group Inc.", 4905924, 159345, "12/31/2016"
"Appaloosa LP", 4810000, 156229, "12/31/2016"
"TD Asset Management Inc.", 4770007, 154930, "12/31/2016"
"Mairs & Power INC", 4725178, 153474, "12/31/2016"
"Thrivent Financial for Lutherans", 4595161, 149306, "12/31/2016"
"First Trust Advisors LP", 4575025, 148597, "12/31/2016"
"BNP Paribas Arbitrage SA", , 146005, "12/31/2016"
"Public Employees Retirement System of Ohio", 4238621, 142375, "12/31/2016"
"Keybank National Association OH", 4343344, 141072, "12/31/2016"
"Santa Barbara Asset Management LLC", 4328169, 140579, "12/31/2016"
"Letko Brosseau & Associates Inc.", 4298759, 139624, "12/31/2016"
"Retirement Systems of Alabama", 4260884, 138394, "12/31/2016"
"Strs Ohio", 4135537, 134322, "12/31/2016"
"RE Advisers Corp", 4115000, 133655, "12/31/2016"
"Eagle Asset Management Inc.", 4049135, 131515, "12/31/2016"
"State of Tennessee Treasury Department", 3987371, 129510, "12/31/2016"
"National Pension Service", 3925331, 127495, "12/31/2016"
"Henderson Group PLC", 3900116, 126734, "12/31/2016"
"Suntrust Banks Inc.", 3897566, 126591, "12/31/2016"
"M&T Bank Corp", , 125262, "12/31/2016"
"Swedbank", 3788211, 123041, "12/31/2016"
"Valueinvest Asset Management S.A.", 3709900, 120498, "12/31/2016"
"Bahl & Gaynor Inc.", 3671753, 119258, "12/31/2016"
"Epoch Investment Partners Inc.", 3653613, 118669, "12/31/2016"
"Caisse DE Depot ET Placement DU Quebec", 3623338, 117541, "12/31/2016"
"TCW Group Inc.", 3553091, 115404, "12/31/2016"
"Mondrian Investment Partners LTD", 3509144, 113977, "12/31/2016"
"Schafer Cullen Capital Management Inc.", 3474138, 112840, "12/31/2016"
"Nationwide Fund Advisors", 3321626, 107886, "12/31/2016"
"Gateway Investment Advisers LLC", 3314271, 107648, "12/31/2016"
"Glenmede Trust Co. NA", 3283462, 106646, "12/31/2016"
"Edge Asset Management Inc.", 3242525, 105318, "12/31/2016"
"Cincinnati Insurance Co.", 3235725, 105096, "12/31/2016"
"Robeco Institutional Asset Management B.V.", 3196833, 103832, "12/31/2016"
"Skandinaviska Enskilda Banken AB publ", 3148480, 102262, "12/31/2016"
"Fifth Third Bancorp", 3131689, 101717, "12/31/2016"
"Regions Financial Corp", 3112629, 101098, "12/31/2016"
"State Treasurer State of Michigan", 3100026, 100689, "12/31/2016"
"HL Financial Services LLC", 3079423, 100020, "12/31/2016"
"Metropolitan Life Insurance Co. NY", 3063951, 99517, "12/31/2016"
"King Luther Capital Management Corp", 3003961, 97569, "12/31/2016"
"Guggenheim Capital LLC", 2995589, 97298, "12/31/2016"
"Polar Capital LLP", 2983576, 96914, "12/31/2016"
"Edmond DE Rothschild Holding S.A.", 2972375, 96543, "12/31/2016"
"Aperio Group LLC", 2951540, 95866, "12/31/2016"
"Loomis Sayles & Co. L P", 2944921, 95651, "12/31/2016"
"Highfields Capital Management LP", 2862626, 92978, "12/31/2016"
"Jarislowsky Fraser Ltd", 2848582, 92521, "12/31/2016"
"Renaissance Technologies LLC", 2847000, 92471, "12/31/2016"
"Calamos Advisors LLC", 2836840, 92141, "12/31/2016"
"Acadian Asset Management LLC", 2831176, 91956, "12/31/2016"
"Zurcher Kantonalbank Zurich Cantonalbank", 2815526, 91448, "12/31/2016"
"First Republic Investment Management Inc.", 2811365, 91313, "12/31/2016"
"Factory Mutual Insurance Co.", 2775897, 91244, "12/31/2016"
"Miller Howard Investments Inc. NY", 2808440, 91218, "12/31/2016"
"Silvercrest Asset Management Group LLC", 2791070, 90654, "12/31/2016"
"BB&T Securities LLC", 2701250, 90359, "12/31/2016"
"Piedmont Investment Advisors LLC", 2744282, 89134, "12/31/2016"
"Los Angeles Capital Management & Equity Research Inc.", 2728396, 88618, "12/31/2016"
"British Columbia Investment Management Corp", 2663802, 86520, "12/31/2016"
"Public Employees Retirement Association of Colorado", 2648624, 86027, "12/31/2016"
"Commerce Bank", 2544921, 82659, "12/31/2016"
"Federated Investors Inc. PA", 2542728, 82588, "12/31/2016"
"Sterling Capital Management LLC", 2495788, 81063, "12/31/2016"
"Rothschild Asset Management Inc.", 2464843, 80058, "12/31/2016"
"Nuveen Asset Management LLC", 2427041, 78830, "12/31/2016"
"Cullen Capital Management LLC", 2411340, 78320, "12/31/2016"
"South Dakota Investment Council", 2390498, 77643, "12/31/2016"
"Nisa Investment Advisors LLC", 2381167, 77340, "12/31/2016"
"Two Sigma Advisers LP", 2378323, 77248, "12/31/2016"
"Cornerstone Capital Management Holdings LLC.", 2369260, 76952, "12/31/2016"
"HighTower Advisors LLC", 2372412, 76916, "12/31/2016"
"SG Americas Securities LLC", , 76819, "12/31/2016"
"Commonwealth Equity Services Inc", 2357409, 76569, "12/31/2016"
"AMP Capital Investors Ltd", 2355940, 76545, "12/31/2016"
"Tocqueville Asset Management L.P.", 2307158, 74936, "12/31/2016"
"NWQ Investment Management Company LLC", 2280229, 74062, "12/31/2016"
"Pzena Investment Management LLC", 2217509, 72025, "12/31/2016"
"Arizona State Retirement System", 2208152, 71721, "12/31/2016"
"Comerica Bank", 2192072, 71286, "12/31/2016"
"Cibc World Markets Corp", 2163296, 70264, "12/31/2016"
"Nicholas Co. Inc. WI", 2148558, 69785, "12/31/2016"
"Sei Investments Co.", 2146763, 69726, "12/31/2016"
"DnB Asset Management AS", 2063592, 67025, "12/31/2016"
"Hamlin Capital Management LLC", 2052143, 66654, "12/31/2016"
"Marshall Wace LLP", 2029295, 65912, "12/31/2016"
"CI Investments Inc.", 2020325, 65620, "12/31/2016"
"Smead Capital Management Inc.", 2008747, 65244, "12/31/2016"
"RidgeWorth Capital Management LLC", 1960889, 63690, "12/31/2016"
"Raymond James Financial Services Advisors Inc.", 1959102, 63632, "12/31/2016"
"ING Groep NV", 1933061, 62805, "12/31/2016"
"Veritas Asset Management LLP", 1918800, 62323, "12/31/2016"
"Confluence Investment Management LLC", 1869907, 60735, "12/31/2016"
"Foresters Investment Management Company Inc.", 1866006, 60608, "12/31/2016"
"Zacks Investment Management", 1863980, 60542, "12/31/2016"
"Gulf International Bank UK Ltd", 1858790, 60373, "12/31/2016"
"Perkins Investment Management LLC", 1849133, 60060, "12/31/2016"
"Texas Permanent School Fund", 1817851, 59044, "12/31/2016"
"Meyer Handelman Co.", 1789692, 58130, "12/31/2016"
"Morningstar Investment Services LLC", 1787777, 58067, "12/31/2016"
"Sectoral Asset Management Inc", 1764343, 57306, "12/31/2016"
"Huntington National Bank", 1731387, 56235, "12/31/2016"
"Edgar Lomax Co. VA", 1725455, 56043, "12/31/2016"
"Advisors Asset Management Inc.", 1724339, 56007, "12/31/2016"
"Clark Estates Inc. NY", 1672756, 54331, "12/31/2016"
"RWC Asset Management LLP", 1659958, 53915, "12/31/2016"
"Wedge Capital Management L L P NC", 1635689, 53127, "12/31/2016"
"Hartford Investment Management Co.", 1624012, 52748, "12/31/2016"
"Janney Montgomery Scott LLC", 1615267, 52464, "12/31/2016"
"Oregon Public Employees Retirement Fund", 1580067, 51321, "12/31/2016"
"Tetrem Capital Management Ltd.", 1577877, 51249, "12/31/2016"
"Foundation Resource Management Inc.", 1557839, 50599, "12/31/2016"
"Baird Financial Group Inc.", 1551200, 50383, "12/31/2016"
"Northeast Financial Consultants Inc", 1547113, 50250, "12/31/2016"
"OLD Republic International Corp", 1538500, 49970, "12/31/2016"
"Carlson Capital L P", 1522144, 49439, "12/31/2016"
"Employees Retirement System of Texas", 1501370, 48764, "12/31/2016"
"Capital Research Global Investors", 1500000, 48720, "12/31/2016"
"Becker Capital Management Inc.", 1476505, 47957, "12/31/2016"
"HM Payson & Co.", 1474120, 47880, "12/31/2016"
"Edmond DE Rothschild Asset Management France", 1384800, 46903, "09/30/2016"
"Mckinley Capital Management LLC Delaware", 1429065, 46416, "12/31/2016"
"Avalon Advisors LLC", 1412476, 45877, "12/31/2016"
"Brown Advisory Inc.", 1404712, 45624, "12/31/2016"
"Exxonmobil Investment Management Inc. TX", 1404621, 45622, "12/31/2016"
"PM CAPITAL Ltd", 1406124, 45562, "12/31/2016"
"Boston Financial Mangement LLC", 1400638, 45493, "12/31/2016"
"First Foundation Advisors", 1400121, 45476, "12/31/2016"
"Victory Capital Management Inc.", 1391040, 45181, "12/31/2016"
"Martingale Asset Management L P", 1353710, 43970, "12/31/2016"
"Honeywell International Inc.", 1353100, 43949, "12/31/2016"
"Public Sector Pension Investment Board", 1341434, 43570, "12/31/2016"
"Analytic Investors LLC", 1283839, 43483, "09/30/2016"
"Fjarde AP Fonden Fourth Swedish National Pension Fund", 1297021, 42127, "12/31/2016"
"Huber Capital Management LLC", 1295160, 42067, "12/31/2016"
"Nippon Life Insurance Co.", 1275635, 41433, "12/31/2016"
"Ontario Teachers Pension Plan Board", 1275593, 41431, "12/31/2016"
"GAM Holding AG", 1267486, 41168, "12/31/2016"
"MUFG Americas Holdings Corp", 1247483, 40518, "12/31/2016"
"Mirae Asset Global Investments Co. Ltd.", 1230732, 39974, "12/31/2016"
"Ngam Advisors L.P.", 1220950, 39657, "12/31/2016"
"Kornitzer Capital Management Inc. KS", 1215632, 39484, "12/31/2016"
"Alps Advisors Inc.", 1208095, 39239, "12/31/2016"
"Stewart West Indies Trading CO. Ltd.", 1207100, 39207, "12/31/2016"
"AGF Investments Inc.", 1200270, 38940, "12/31/2016"
"Shell Asset Management Co.", 1197789, 38904, "12/31/2016"
"Saturna Capital CORP", 1182587, 38410, "12/31/2016"
"Sit Investment Associates Inc.", 1169010, 37969, "12/31/2016"
"Seaward Management Limited Partnership", 1167002, 37904, "12/31/2016"
"Nomura Asset Management Co. Ltd.", 1158944, 37659, "12/31/2016"
"Tekla Capital Management LLC", 1146689, 37244, "12/31/2016"
"Toronto Dominion Bank", 1145268, 37198, "12/31/2016"
"QS Investors LLC", 1143541, 37142, "12/31/2016"
"James Investment Research Inc.", 1142959, 37123, "12/31/2016"
"Westpac Banking Corp", 1014100, 36917, "12/31/2016"
"Chicago Equity Partners LLC", 1131404, 36748, "12/31/2016"
"BB&T Corp", 1129092, 36673, "12/31/2016"
"Gabelli Funds LLC", 1109123, 36024, "12/31/2016"
"BNP Paribas Investment Partners S.A.", 1105121, 35895, "12/31/2016"
"KAMES CAPITAL plc", 1102020, 35805, "12/31/2016"
"Utah Retirement Systems", 1101193, 35766, "12/31/2016"
"Teachers Retirement System of The State of Kentucky", 1094545, 35550, "12/31/2016"
"Connor Clark & Lunn Investment Management Ltd.", 1084132, 35213, "12/31/2016"
"Conning Inc.", 1063846, 34554, "12/31/2016"
"TIAA CREF Trust Co. FSB MO", 1062445, 34508, "12/31/2016"
"TCTC Holdings LLC", 1044325, 33919, "12/31/2016"
"Envestnet Asset Management Inc.", 1031498, 33500, "12/31/2016"
"Welch & Forbes LLC", 1030308, 33464, "12/31/2016"
"Xact Kapitalforvaltning AB", 1010835, 32832, "12/31/2016"
"Staley Capital Advisers Inc.", 1003368, 32589, "12/31/2016"
"Boston Private Wealth LLC", 999775, 32473, "12/31/2016"
"Virginia Retirement Systems ET AL", 998696, 32438, "12/31/2016"
"CIBC Asset Management Inc", 998341, 32426, "12/31/2016"
"RNC Capital Management LLC", 997883, 32411, "12/31/2016"
"Mitsubishi UFJ Kokusai Asset Management Co. Ltd.", 968695, 31967, "12/31/2016"
"Knott David M", 973676, 31624, "12/31/2016"
"Scotia Capital Inc.", 972034, 31599, "12/31/2016"
"Haverford Trust Co.", 969993, 31505, "12/31/2016"
"United Capital Financial Advisers LLC", 963890, 31307, "12/31/2016"
"Zurich Insurance Group Ltd FI", 919985, 29881, "12/31/2016"
"Van ECK Associates Corp", 918410, 29830, "12/31/2016"
"Mackenzie Financial Corp", 914091, 29690, "12/31/2016"
"CIBC World Markets Inc.", 901111, 29268, "12/31/2016"
"Dai Ichi Life Insurance Company Ltd", 900436, 29246, "12/31/2016"
"Rathbone Brothers plc", 892088, 28975, "12/31/2016"
"Commerzbank Aktiengesellschaft FI", 888216, 28849, "12/31/2016"
"Parallax Volatility Advisers L.P.", , 28156, "12/31/2016"
"Atlantic Trust Group LLC", 866668, 28150, "12/31/2016"
"Kahn Brothers Group Inc. DE", 860290, 27942, "12/31/2016"
"Bluestein R H & Co.", 856417, 27816, "12/31/2016"
"Willis Investment Counsel", 855233, 27778, "12/31/2016"
"ProShare Advisors LLC", 848708, 27566, "12/31/2016"
"Mutual of America Capital Management LLC", 847009, 27511, "12/31/2016"
"Delta Lloyd NV", 837637, 27206, "12/31/2016"
"Mason Street Advisors LLC", 830123, 26962, "12/31/2016"
"Artemis Investment Management LLP", 824311, 26785, "12/31/2016"
"Ingalls & Snyder LLC", 823534, 26748, "12/31/2016"
"Anchor Capital Advisors LLC", 808383, 26256, "12/31/2016"
"Creative Planning", , 26209, "12/31/2016"
"Associated Banc Corp", 803992, 26114, "12/31/2016"
"Commonwealth Bank of Australia", 800737, 26008, "12/31/2016"
"GW&K Investment Management LLC", 791722, 25715, "12/31/2016"
"Intact Investment Management Inc.", 791400, 25713, "12/31/2016"
"Country Trust Bank", 791551, 25710, "12/31/2016"
"Pinnacle Associates Ltd.", 787349, 25573, "12/31/2016"
"Madison Investment Holdings Inc.", 786922, 25559, "12/31/2016"
"Guyasuta Investment Advisors Inc.", 784001, 25464, "12/31/2016"
"Segall Bryant & Hamill LLC", 781250, 25375, "12/31/2016"
"Gotham Asset Management LLC", 759374, 24664, "12/31/2016"
"Mizuho Securities USA Inc.", 759139, 24657, "12/31/2016"
"CAM Group Holding A S", 758711, 24643, "12/31/2016"
"Fishman Jay A Ltd. MI", 754215, 24497, "12/31/2016"
"Oppenheimer & Co. Inc.", 751877, 24421, "12/31/2016"
"Dodge & Cox", 748972, 24327, "12/31/2016"
"Calvert Investment Management Inc.", 748567, 24313, "12/31/2016"
"Forsta AP Fonden", 744714, 24188, "12/31/2016"
"Gluskin Sheff & Assoc Inc.", 742930, 24130, "12/31/2016"
"Cambridge Investment Research Advisors Inc.", 741517, 24084, "12/31/2016"
"Stralem & Co. Inc.", 740524, 24052, "12/31/2016"
"Waverton Investment Management Ltd", 738287, 23980, "12/31/2016"
"Vaughan David Investments Inc. IL", 732764, 23800, "12/31/2016"
"Blair William & Co. IL", 732530, 23793, "12/31/2016"
"Cohen & Steers Inc.", 726467, 23596, "12/31/2016"
"Whittier Trust Co.", 726548, 23591, "12/31/2016"
"Tredje AP fonden", 726066, 23583, "12/31/2016"
"Meag Munich Ergo Kapitalanlagegesellschaft MBH", 720811, 23549, "12/31/2016"
"D.A. Davidson & CO.", 724023, 23509, "12/31/2016"
"Migdal Insurance & Financial Holdings Ltd.", 717407, 23301, "12/31/2016"
"Norinchukin Bank The", 714727, 23214, "12/31/2016"
"BP PLC", 710000, 23068, "12/31/2016"
"Jupiter Asset Management Ltd.", 705137, 22903, "12/31/2016"
"Personal Capital Advisors Corp", 704922, 22896, "12/31/2016"
"Adams Diversified Equity Fund Inc.", 702940, 22831, "12/31/2016"
"Northwestern Mutual Investment Management Company LLC", 696821, 22633, "12/31/2016"
"Candriam Luxembourg S.C.A.", 695908, 22602, "12/31/2016"
"CENTRAL TRUST Co", 695583, 22593, "12/31/2016"
"Clark Capital Management Group Inc.", 688734, 22370, "12/31/2016"
"Manning & Napier Advisors LLC", 684000, 22215, "12/31/2016"
"Affinity Investment Advisors LLC", 680687, 22109, "12/31/2016"
"Andra AP fonden", 674400, 21905, "12/31/2016"
"Northwestern Mutual Wealth Management Co.", 671997, 21827, "12/31/2016"
"Dana Investment Advisors Inc.", 665057, 21601, "12/31/2016"
"Argent Capital Management LLC", 663499, 21550, "12/31/2016"
"DUPONT CAPITAL MANAGEMENT Corp", 658926, 21402, "12/31/2016"
"Fayez Sarofim & Co.", 658142, 21376, "12/31/2016"
"Menora Mivtachim Holdings LTD.", 657932, 21370, "12/31/2016"
"Capital Guardian Trust Co.", 656732, 21331, "12/31/2016"
"Ladenburg Thalmann Financial Services Inc.", 651910, 21231, "12/31/2016"
"People s United Financial Inc.", 651205, 21152, "12/31/2016"
"Livforsakringsbolaget Skandia Omsesidigt", 650727, 21136, "12/31/2016"
"First Fiduciary Investment Counsel Inc.", 649899, 21109, "12/31/2016"
"New Mexico Educational Retirement Board", 648350, 21058, "12/31/2016"
"Janney Capital Management LLC", 645952, 20980, "12/31/2016"
"Blackhill Capital Inc.", 643686, 20907, "12/31/2016"
"Atalanta Sosnoff Capital LLC", 636477, 20672, "12/31/2016"
"Nexus Investment Management Inc.", 634440, 20598, "12/31/2016"
"OLD National Bancorp IN", 611787, 19870, "12/31/2016"
"Synovus Financial Corp", 611603, 19835, "12/31/2016"
"Advantus Capital Management Inc", 608356, 19759, "12/31/2016"
"Foundry Partners LLC", 604863, 19646, "12/31/2016"
"Financial Counselors Inc.", 600471, 19503, "12/31/2016"
"IBM Retirement Fund", 565871, 19319, "12/31/2016"
"Palladium Partners LLC", 592547, 19246, "12/31/2016"
"Smith Chas P & Associates PA Cpas", 589498, 19147, "12/31/2016"
"Natixis", 588116, 19102, "12/31/2016"
"Nokota Management LP", 587500, 19082, "12/31/2016"
"Uniplan Investment Counsel Inc.", 313132, 19063, "12/31/2016"
"Cannell Peter B & Co. Inc.", 583559, 18954, "12/31/2016"
"Sumitomo Mitsui Asset Management Company LTD", 570692, 18536, "12/31/2016"
"Fiduciary Trust Co.", 567334, 18427, "12/31/2016"
"Hermes Investment Management Ltd.", 567050, 18418, "12/31/2016"
"Gamble Jones Investment Counsel", 563042, 18288, "12/31/2016"
"Sabal Trust CO", 561242, 18228, "12/31/2016"
"Todd Asset Management LLC", 555203, 18033, "12/31/2016"
"BOKF NA", 555130, 18030, "12/31/2016"
"Oakview Capital Management L.P.", 554410, 18007, "12/31/2016"
"American National Insurance Co. TX", 553264, 17970, "12/31/2016"
"Berkshire Asset Management LLC PA", 553034, 17963, "12/31/2016"
"Martin Currie Ltd.", 550302, 17874, "12/31/2016"
"CORDA Investment Management LLC.", 544995, 17701, "12/31/2016"
"World Asset Management Inc", 544593, 17688, "12/31/2016"
"Payden & Rygel", 542590, 17623, "12/31/2016"
"Windward Capital Management Co. CA", 540615, 17560, "12/31/2016"
"Private Asset Management Inc.", 540445, 17554, "12/31/2016"
"Citadel Advisors LLC", , 17484, "12/31/2016"
"Donaldson Capital Management LLC", 538168, 17480, "12/31/2016"
"Teachers Insurance & Annuity Association of America", 537000, 17442, "12/31/2016"
"Sprott Inc.", 536030, 17410, "12/31/2016"
"CHURCHILL MANAGEMENT Corp", 534707, 17367, "12/31/2016"
"Ascend Capital LLC", 533391, 17325, "12/31/2016"
"Randolph Co Inc", 526492, 17100, "12/31/2016"
"Institutional Capital LLC", 523770, 17012, "12/31/2016"
"Wafra Investment Advisory Group Inc. NY", 522313, 16965, "12/31/2016"
"Chartwell Investment Partners LLC", 518186, 16831, "12/31/2016"
"Clifford Swan Investment Counsel LLC", 512852, 16657, "12/31/2016"
"Braun Stacey Associates Inc.", 509681, 16555, "12/31/2016"
"Seizert Capital Partners LLC", 501167, 16278, "12/31/2016"
"Denver Investment Advisors LLC", 500063, 16242, "12/31/2016"
"Artal Group S.A.", , 16240, "12/31/2016"
"Private Wealth Partners LLC", 499835, 16235, "12/31/2016"
"Dalton Greiner Hartman Maher & Co.", 499565, 16226, "12/31/2016"
